"","State","County","Flyway","Flock type","Species","Avian influenza subtype*","Confirmation date","Flock size"
"183","Minnesota","Swift","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 13, 2015","153,500"
"184","Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 13, 2015","68,500"
"185","Minnesota","Le Sueur","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 11, 2015","21,500"
"186","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 11, 2015","38,400"
"187","Wisconsin","Jefferson","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","Apr 11, 2015","189,100"
"188","South Dakota","McPherson","Central","Commercial","Turkeys","EA/AM-H5N2","Apr 10, 2015","55,200"
"189","South Dakota","McCook","Central","Commercial","Turkeys","EA/AM-H5N2","Apr 10, 2015","54,700"
"190","North Dakota","Dickey","Central","Commercial","Turkeys","EA/AM-H5N2","Apr 10, 2015","40,000"
"191","Minnesota","Watonwan","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 9, 2015","30,000"
"192","Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 9, 2015","45,000"
"193","Minnesota","Lyon","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 9, 2015","66,000"
"194","Minnesota","Cottonwood","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 9, 2015","48,000"
"195","South Dakota","Kingsbury","Central","Commercial","Turkeys","EA/AM-H5N2","Apr 8, 2015","71,900"
"196","Minnesota","Meeker","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 7, 2015","310,000"
"197","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 7, 2015","30,000"
"198","Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 4, 2015","78,000"
"199","Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 4, 2015","26,500"
"200","Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 2, 2015","65,700"
"201","Minnesota","Nobles","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Apr 2, 2015","21,000"
"202","Montana","Judith Basin","Central","Backyard","Mixed Poultry","EA/AM-H5N2","Apr 2, 2015","40"
"203","South Dakota","Beadle","Central","Commercial","Turkeys","EA/AM-H5N2","Apr 1, 2015","50,600"
"204","Minnesota","Lac Qui Parle","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Mar 27, 2015","66,000"
"205","Kansas","Leavenworth","Central","Backyard","Mixed poultry","EA/AM-H5N2","Mar 13, 2015","10"
"206","Arkansas","Boone","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Mar 11, 2015","40,020"
"207","Missouri","Moniteau","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Mar 10, 2015","23,000"
"208","Missouri","Jasper","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Mar 9, 2015","30,100"
"209","Minnesota","Pope","Mississippi","Commercial","Turkeys","EA/AM-H5N2","Mar 4, 2015","44,000"
"210","Oregon","Deschutes","Pacific","Backyard","Mixed poultry","EA/AM-H5N2","Feb 17, 2015","70"
"211","California","Kings","Pacific","Commercial","Chicken","EA-H5N8","Feb 12, 2015","112,900"
"212","Washington","Okanogan","Pacific","Backyard","Chicken","EA/AM-H5N2","Feb 3, 2015","40"
"213","Washington","Okanogan","Pacific","Backyard","Pheasant","EA/AM-H5N2","Jan 29, 2015","5,830"
"214","California","Stanislaus","Pacific","Commercial","Turkeys","EA-H5N8","Jan 23, 2015","134,400"
"215","Washington","Clallam","Pacific","Backyard","Mixed Poultry","EA/AM-H5N2","Jan 16, 2015","110"
"216","Idaho","Canyon","Pacific","Backyard","Mixed poultry","EA/AM-H5N2","Jan 16, 2015","30"
"217","Washington","Benton","Pacific","Backyard","Mixed Poultry","EA/AM-H5N2","Jan 9, 2015","590"
"218","Washington","Benton","Pacific","Backyard","Mixed poultry","EA/AM-H5N2","Jan 3, 2015","140"
"219","Oregon","Douglas","Pacific","Backyard","Mixed poultry","EA -H5N8","Dec 19, 2014","130"
